,NAME,variable,prcnt_change,prcnt_change_period
1,Nevada,AA_alone,116.5112002,2000 to 2010
2,North Dakota,AA_alone,91.59733777,2000 to 2010
3,Arizona,AA_alone,91.5683681,2000 to 2010
4,North Carolina,AA_alone,83.80142318,2000 to 2010
5,Georgia,AA_alone,81.59438702,2000 to 2010
6,Arkansas,AA_alone,78.54599407,2000 to 2010
7,New Hampshire,AA_alone,78.31272362,2000 to 2010
8,Delaware,AA_alone,75.58890461,2000 to 2010
9,South Dakota,AA_alone,73.82366377,2000 to 2010
10,Indiana,AA_alone,73.31461624,2000 to 2010
11,North Dakota,AA_alone,266.4170826,2000 to 2020
12,South Dakota,AA_alone,207.8117862,2000 to 2020
13,Nevada,AA_alone,202.1104292,2000 to 2020
14,North Carolina,AA_alone,201.7451117,2000 to 2020
15,Indiana,AA_alone,184.069614,2000 to 2020
16,Texas,AA_alone,181.9538376,2000 to 2020
17,Arizona,AA_alone,179.0992671,2000 to 2020
18,Georgia,AA_alone,176.6229716,2000 to 2020
19,Delaware,AA_alone,162.6176272,2000 to 2020
20,Arkansas,AA_alone,156.3748764,2000 to 2020
21,North Dakota,AA_alone,91.24330583,2010 to 2020
22,South Dakota,AA_alone,77.08278581,2010 to 2020
23,Texas,AA_alone,64.36725842,2010 to 2020
24,North Carolina,AA_alone,64.16908337,2010 to 2020
25,Nebraska,AA_alone,63.97051993,2010 to 2020
26,Indiana,AA_alone,63.90401468,2010 to 2020
27,District of Columbia,AA_alone,59.31325988,2010 to 2020
28,Ohio,AA_alone,55.28499269,2010 to 2020
29,South Carolina,AA_alone,53.19977646,2010 to 2020
30,Georgia,AA_alone,52.33013321,2010 to 2020
31,Nevada,AA_alone_combination,116.0098172,2000 to 2010
32,Arizona,AA_alone_combination,94.57580558,2000 to 2010
33,North Carolina,AA_alone_combination,85.43520395,2000 to 2010
34,North Dakota,AA_alone_combination,85.08153815,2000 to 2010
35,Georgia,AA_alone_combination,82.92044522,2000 to 2010
36,New Hampshire,AA_alone_combination,79.62433009,2000 to 2010
37,Delaware,AA_alone_combination,77.8980152,2000 to 2010
38,Arkansas,AA_alone_combination,76.93397898,2000 to 2010
39,Indiana,AA_alone_combination,74.01392111,2000 to 2010
40,Texas,AA_alone_combination,72.41199454,2000 to 2010
41,North Dakota,AA_alone_combination,229.4141333,2000 to 2020
42,Nevada,AA_alone_combination,185.0857224,2000 to 2020
43,North Carolina,AA_alone_combination,177.4014037,2000 to 2020
44,Arizona,AA_alone_combination,175.0825806,2000 to 2020
45,Indiana,AA_alone_combination,167.8331663,2000 to 2020
46,South Dakota,AA_alone_combination,167.2990514,2000 to 2020
47,Georgia,AA_alone_combination,157.9594819,2000 to 2020
48,Texas,AA_alone_combination,157.0915859,2000 to 2020
49,New Hampshire,AA_alone_combination,148.2595348,2000 to 2020
50,South Carolina,AA_alone_combination,146.2954308,2000 to 2020
51,North Dakota,AA_alone_combination,77.98324812,2010 to 2020
52,South Dakota,AA_alone_combination,57.22396241,2010 to 2020
53,Nebraska,AA_alone_combination,54.12834989,2010 to 2020
54,Indiana,AA_alone_combination,53.9147929,2010 to 2020
55,Iowa,AA_alone_combination,51.7485119,2010 to 2020
56,North Carolina,AA_alone_combination,49.59478987,2010 to 2020
57,Texas,AA_alone_combination,49.11467534,2010 to 2020
58,Montana,AA_alone_combination,49.03644343,2010 to 2020
59,South Carolina,AA_alone_combination,46.23648809,2010 to 2020
60,Utah,AA_alone_combination,44.52847662,2010 to 2020
61,Arkansas,NHPI_alone,251.498801,2000 to 2010
62,Alaska,NHPI_alone,123.9045029,2000 to 2010
63,Alabama,NHPI_alone,116.9623847,2000 to 2010
64,Nevada,NHPI_alone,100.2254925,2000 to 2010
65,Iowa,NHPI_alone,98.51337958,2000 to 2010
66,Missouri,NHPI_alone,97.01069855,2000 to 2010
67,Arizona,NHPI_alone,87.85088371,2000 to 2010
68,Oklahoma,NHPI_alone,84.19055649,2000 to 2010
69,Mississippi,NHPI_alone,77.96101949,2000 to 2010
70,Idaho,NHPI_alone,77.14067278,2000 to 2010
71,Arkansas,NHPI_alone,771.2829736,2000 to 2020
72,Iowa,NHPI_alone,470.6640238,2000 to 2020
73,North Dakota,NHPI_alone,301.7391304,2000 to 2020
74,Alaska,NHPI_alone,283.7413116,2000 to 2020
75,Oklahoma,NHPI_alone,262.9005059,2000 to 2020
76,Missouri,NHPI_alone,206.1674009,2000 to 2020
77,Nevada,NHPI_alone,196.8312366,2000 to 2020
78,Idaho,NHPI_alone,184.8623853,2000 to 2020
79,Washington,NHPI_alone,171.0850415,2000 to 2020
80,Kansas,NHPI_alone,159.8629094,2000 to 2020
81,North Dakota,NHPI_alone,188.75,2010 to 2020
82,Iowa,NHPI_alone,187.4687968,2010 to 2020
83,Arkansas,NHPI_alone,147.8765137,2010 to 2020
84,Oklahoma,NHPI_alone,97.02449073,2010 to 2020
85,Alaska,NHPI_alone,71.38615198,2010 to 2020
86,Idaho,NHPI_alone,60.81139404,2010 to 2020
87,Washington,NHPI_alone,60.42742434,2010 to 2020
88,Puerto Rico,NHPI_alone,60.27027027,2010 to 2020
89,Missouri,NHPI_alone,55.40648459,2010 to 2020
90,Colorado,NHPI_alone,55.32236147,2010 to 2020